2012, Swimming, Netherlands, gold, 1
2012, Athletics, Cuba, bronze, 6
2012, Football / Soccer, Netherlands, bronze, 6
2004, Cycling, Soviet Union, gold, 3
2008, Gymnastics, Denemark, gold, 5
2004, Cycling, East Germany, gold, 1
2016, Tennis, Canada, gold, 3
2016, Cycling, Romania, gold, 2
2016, Volleyball, West Germany, silver, 0
2016, Football / Soccer, Austria, bronze, 3
2016, Athletics, United States, silver, 2
2012, Cycling, East Germany, gold, 5
2008, Volleyball, Commonwealth of Independent States, bronze, 2
2012, Modern Pentathlon, Belgium, b, 5
2016, Cycling, Cuba, bronze, 1
2008, Rowing, Sweden, gold, 5
2016, Rowing, Norway, gold, 4
2004, Rowing, Finland, gold, 1
2016, Cycling, Germany, bronze, 2
2016, Modern Pentathlon, Switzerland, silver, 4
2012, Synchronized Swimming, Denemark, bronze, 2
2004, Volleyball, Sweden, bronze, 6
2008, Gymnastics, Czechoslovakia, g, 6
2012, Modern Pentathlon, Germany, silver, 2
2016, Rowing, East Germany, gold, 0
2004, Rowing, Hungary, gold, 2
2012, Volleyball, Bulgaria, silver, 6
2016, Modern Pentathlon, Denemark, silver, 0
2008, Football / Soccer, Turkey, silver, 0
2016, Gymnastics, East Germany, silver, 2
2016, Gymnastics, Czechoslovakia, silver, 5
2016, Tennis, Italy, bronze, 1
2008, Rowing, Soviet Union, bronze, 1
2012, Gymnastics, Switzerland, g, 4
2004, Cycling, Norway, gold, 6
2012, Football / Soccer, China, silver, 4
2004, Volleyball, Turkey, gold, 2
2012, Football / Soccer, Hungary, silver, 5
2008, Tennis, United States, silver, 2
2012, Gymnastics, Great Britain, gold, 4
2008, Football / Soccer, Romania, bronze, 2
2016, Volleyball, South Korea, silver, 1
2012, Tennis, United States, silver, 0
2016, Football / Soccer, Czechoslovakia, gold, 3
8, Athletics, Belgium, gold, 4
2008, Volleyball, United States, bronze, 5
2008, Swimming, Canada, gold, 2
2016, Tennis, Commonwealth of Independent States, bronze, 4
2012, Cycling, West Germany, silver, 0
2012, Swimming, Belgium, silver, 3
2008, Rowing, Denemark, silver, 1
2004, Rowing, Denemark, silver, 5
2008, Athletics, Japan, bronze, 6
2004, Cycling, France, g, 5
2016, Tennis, Russia, silver, 0
2012, Rowing, East Germany, gold, 6
2012, Modern Pentathlon, United States, gold, 4
2008, Football / Soccer, Russia, gold, 3
2004, Football / Soccer, France, bronze, 6
2004, Volleyball, Switzerland, silver, 3
2004, Football / Soccer, Russia, bronze, 3
2004, Tennis, Japan, gold, 2
2012, Cycling, Austria, gold, 1
2012, Athletics, Switzerland, g, 4
2008, Football / Soccer, Canada, gold, 0
2004, Gymnastics, West Germany, gold, 4
2004, Modern Pentathlon, France, silver, 2
2012, Modern Pentathlon, Japan, bronze, 5
2004, Tennis, East Germany, gold, 1
2004, Swimming, Soviet Union, silver, 0
2008, Football / Soccer, Sweden, silver, 2
2012, Football / Soccer, France, gold, 6
2016, Gymnastics, Sweden, bronze, 4
2012, Volleyball, France, gold, 2
2008, Football / Soccer, South Korea, gold, 4
2012, Tennis, Australia, g, 3
2012, Swimming, Switzerland, gold, 2
2008, Gymnastics, Turkey, bronze, 0
2012, Synchronized Swimming, Italy, silver, 4
2008, Athletics, Belgium, bronze, 0
2012, Volleyball, Russia, gold, 5
2012, Gymnastics, Poland, silver, 0
2016, Gymnastics, Russia, silver, 2
2004, Synchronized Swimming, Australia, silver, 0
2016, Volleyball, Turkey, bronze, 5
2008, Rowing, Poland, gold, 0
2004, Modern Pentathlon, Cuba, bronze, 0
2004, Rowing, Bulgaria, b, 6
2004, Swimming, Bulgaria, bronze, 1
2016, Modern Pentathlon, Belgium, bronze, 3
2012, Tennis, South Korea, gold, 3
2008, Volleyball, Netherlands, s, 3
2008, Swimming, Turkey, silver, 1
2012, Synchronized Swimming, Belgium, bronze, 0
2016, Athletics, Russia, gold, 3
2008, Tennis, Russia, silver, 3
2008, Tennis, Turkey, silver, 5
2012, Modern Pentathlon, Switzerland, g, 2
2016, Synchronized Swimming, Great Britain, bronze, 1
2008, Cycling, Canada, gold, 6
2016, Volleyball, Japan, silver, 5
2012, Cycling, Russia, silver, 1
2012, Football / Soccer, Poland, bronze, 3
2008, Gymnastics, Japan, gold, 0
2004, Tennis, China, gold, 3
2004, Modern Pentathlon, Denemark, bronze, 1
2004, Synchronized Swimming, Japan, gold, 1
2004, Gymnastics, Soviet Union, gold, 0
2004, Rowing, Norway, gold, 4
2012, Gymnastics, Finland, gold, 5
2016, Modern Pentathlon, East Germany, gold, 2
2016, Gymnastics, France, silver, 6
2008, Volleyball, United States, silver, 0
2008, Rowing, Finland, gold, 0
2012, Football / Soccer, Romania, bronze, 5
2016, Swimming, Turkey, gold, 6
2004, Tennis, Italy, gold, 1
2004, Swimming, Czechoslovakia, silver, 1
2004, Cycling, Romania, silver, 0
2004, Tennis, Hungary, silver, 3
2008, Rowing, Austria, gold, 5
2004, Modern Pentathlon, Canada, gold, 3
2004, Athletics, Netherlands, gold, 5
2016, Rowing, Czechoslovakia, gold, 0
2008, Synchronized Swimming, Australia, silver, 3
2004, Rowing, Italy, gold, 4
2008, Modern Pentathlon, Denemark, silver, 1
2008, Cycling, Switzerland, gold, 5
2004, Tennis, Canada, gold, 2
2004, Athletics, Italy, silver, 1
2008, Tennis, Romania, gold, 1
2012, Athletics, Netherlands, silver, 4
2016, Football / Soccer, Poland, silver, 5
2016, Synchronized Swimming, Sweden, gold, 1
2004, Volleyball, East Germany, bronze, 6
2012, Cycling, Finland, bronze, 4
2016, Tennis, Great Britain, silver, 0
2012, Swimming, Hungary, gold, 5
2004, Swimming, Great Britain, silver, 5
2016, Gymnastics, East Germany, gold, 6
2004, Football / Soccer, Hungary, silver, 6
2016, Swimming, Turkey, bronze, 3
2016, Synchronized Swimming, Norway, bronze, 3
2012, Athletics, Denemark, silver, 4
2008, Synchronized Swimming, Norway, bronze, 2
2008, Swimming, Russia, gold, 0
2016, Rowing, Czechoslovakia, bronze, 1
2012, Football / Soccer, Switzerland, b, 1
2012, Athletics, Poland, bronze, 3
2012, Volleyball, Sweden, silver, 1
2008, Tennis, Norway, gold, 6
2012, Cycling, Romania, silver, 6
2008, Volleyball, West Germany, silver, 3
2008, Rowing, Russia, bronze, 0
2008, Volleyball, Denemark, silver, 2
2012, Modern Pentathlon, Austria, silver, 1
2016, Tennis, Cuba, bronze, 3
2012, Cycling, Belgium, silver, 2
2016, Synchronized Swimming, Great Britain, silver, 0
16, Gymnastics, Hungary, silver, 4
2004, Athletics, Turkey, gold, 6
2004, Synchronized Swimming, United States, silver, 4
2016, Gymnastics, France, gold, 0
2004, Volleyball, West Germany, gold, 2
2012, Football / Soccer, Canada, b, 3
2008, Gymnastics, Australia, bronze, 0
2016, Rowing, Japan, silver, 3
2016, Gymnastics, Soviet Union, silver, 4
2008, Modern Pentathlon, South Korea, gold, 1
2004, Athletics, Bulgaria, bronze, 2
2016, Synchronized Swimming, Poland, bronze, 2
2012, Modern Pentathlon, West Germany, silver, 5
2008, Synchronized Swimming, Czechoslovakia, g, 6
2008, Rowing, China, bronze, 4
2004, Rowing, Soviet Union, g, 6
2016, Rowing, East Germany, bronze, 3
2012, Athletics, Austria, bronze, 6
2004, Athletics, China, silver, 3
2012, Modern Pentathlon, Australia, silver, 1
2008, Tennis, Germany, gold, 4
2012, Volleyball, Hungary, silver, 5
2012, Cycling, Canada, gold, 1
2016, Synchronized Swimming, Germany, bronze, 5
2004, Cycling, Soviet Union, bronze, 1
2016, Tennis, West Germany, gold, 1
2016, Modern Pentathlon, Hungary, silver, 5
2016, Tennis, Bulgaria, bronze, 5
2004, Athletics, Czechoslovakia, bronze, 4
2008, Cycling, Bulgaria, bronze, 5
2004, Swimming, France, silver, 3
2008, Cycling, Denemark, bronze, 3
2004, Athletics, Austria, gold, 2
2016, Football / Soccer, East Germany, bronze, 2
2012, Athletics, Soviet Union, silver, 0
2004, Rowing, Netherlands, gold, 4
8, Tennis, Germany, silver, 0
2004, Football / Soccer, Austria, silver, 0
12, Rowing, Belgium, bronze, 3
2008, Tennis, Czechoslovakia, silver, 3
2016, Cycling, Soviet Union, silver, 5
2012, Gymnastics, Commonwealth of Independent States, gold, 4
2012, Volleyball, South Korea, gold, 6
2004, Synchronized Swimming, East Germany, gold, 4
2008, Modern Pentathlon, Germany, bronze, 4
2004, Swimming, Canada, gold, 0
2012, Cycling, Germany, bronze, 6
2004, Football / Soccer, Switzerland, bronze, 2
2008, Modern Pentathlon, Great Britain, gold, 6
2012, Rowing, Turkey, gold, 1
2004, Tennis, Denemark, silver, 2
2012, Swimming, Italy, bronze, 1
2016, Athletics, Sweden, s, 2
2008, Tennis, Sweden, silver, 3
2016, Football / Soccer, West Germany, gold, 0
2004, Football / Soccer, Bulgaria, silver, 2
2016, Football / Soccer, Russia, bronze, 6
2008, Modern Pentathlon, Romania, bronze, 1
2016, Athletics, Japan, silver, 6
2008, Synchronized Swimming, Japan, silver, 0
2008, Swimming, Sweden, gold, 0
2004, Athletics, Finland, silver, 6
2004, Swimming, Commonwealth of Independent States, bronze, 3
2016, Modern Pentathlon, South Korea, bronze, 0
2008, Football / Soccer, Norway, bronze, 2
2008, Rowing, China, silver, 3
2004, Athletics, South Korea, silver, 5
2016, Cycling, Bulgaria, bronze, 5
2004, Football / Soccer, Great Britain, bronze, 0
2008, Swimming, Hungary, silver, 3
2016, Gymnastics, Netherlands, gold, 2
2008, Synchronized Swimming, Australia, bronze, 1
2008, Rowing, Canada, bronze, 6
2004, Athletics, Great Britain, silver, 2
2012, Gymnastics, China, bronze, 3
2008, Synchronized Swimming, Russia, bronze, 0
2004, Tennis, Russia, bronze, 5
2012, Volleyball, South Korea, bronze, 2
2004, Swimming, Poland, bronze, 5
2012, Cycling, Germany, gold, 6
2016, Synchronized Swimming, East Germany, gold, 0
2012, Tennis, Netherlands, bronze, 0
2012, Tennis, Bulgaria, bronze, 6
2004, Synchronized Swimming, West Germany, gold, 0
2008, Athletics, Canada, gold, 4
2016, Swimming, Poland, gold, 2
2008, Modern Pentathlon, Canada, gold, 1
2004, Rowing, Italy, silver, 2
2008, Volleyball, Sweden, bronze, 2
